label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_soft_0.240,pipeline_soft,0.24,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.260,pipeline_soft,0.26,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.280,pipeline_soft,0.28,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.300,pipeline_soft,0.3,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.320,pipeline_soft,0.32,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.340,pipeline_soft,0.34,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.360,pipeline_soft,0.36,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.380,pipeline_soft,0.38,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.400,pipeline_soft,0.4,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.420,pipeline_soft,0.42,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.440,pipeline_soft,0.44,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.460,pipeline_soft,0.46,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.480,pipeline_soft,0.48,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.500,pipeline_soft,0.5,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.520,pipeline_soft,0.52,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.540,pipeline_soft,0.54,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.560,pipeline_soft,0.56,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.580,pipeline_soft,0.58,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.600,pipeline_soft,0.6,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.620,pipeline_soft,0.62,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.640,pipeline_soft,0.64,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.660,pipeline_soft,0.66,0.00,22,27,11,11,0.2555,0.3948,0.1465,0.6670,0.1580,0.237,26.99,14.89,8.87,default,4,3,4,0.01,3,2,200
default_soft_0.680,pipeline_soft,0.68,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.700,pipeline_soft,0.7,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.720,pipeline_soft,0.72,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.740,pipeline_soft,0.74,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.760,pipeline_soft,0.76,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.780,pipeline_soft,0.78,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.800,pipeline_soft,0.8,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.820,pipeline_soft,0.82,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.840,pipeline_soft,0.84,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.860,pipeline_soft,0.86,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.880,pipeline_soft,0.88,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.900,pipeline_soft,0.9,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.920,pipeline_soft,0.92,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.940,pipeline_soft,0.94,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.960,pipeline_soft,0.96,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
default_soft_0.980,pipeline_soft,0.98,0.00,17,27,11,11,0.1043,0.1831,0.0550,0.7484,0.0561,0.075,26.99,4.46,2.99,default,4,3,4,0.01,3,2,200
